,AAPL,GOOG,MSFT
2025-09-09 14:00:00+00:00,236.5,235.4499969482422,
2025-09-09 14:01:00+00:00,236.60000610351562,235.4600067138672,
2025-09-09 14:02:00+00:00,236.5471954345703,235.4949951171875,
2025-09-09 14:03:00+00:00,236.69000244140625,235.77000427246094,
2025-09-09 14:04:00+00:00,236.72500610351562,235.92999267578125,
2025-09-09 14:05:00+00:00,236.72999572753906,235.89999389648438,
2025-09-09 14:06:00+00:00,236.51499938964844,236.06260681152344,
2025-09-09 14:07:00+00:00,236.57000732421875,236.3300018310547,
2025-09-09 14:08:00+00:00,236.64999389648438,236.3376007080078,
2025-09-09 14:09:00+00:00,236.63999938964844,236.60000610351562,
2025-09-09 14:10:00+00:00,236.625,236.66000366210938,
2025-09-09 14:11:00+00:00,236.66000366210938,236.77999877929688,
2025-09-09 14:12:00+00:00,236.6199951171875,236.64999389648438,
2025-09-09 14:13:00+00:00,236.4550018310547,236.44000244140625,
2025-09-09 14:14:00+00:00,236.42999267578125,236.51499938964844,
2025-09-09 14:15:00+00:00,236.46499633789062,236.35000610351562,
2025-09-09 14:16:00+00:00,236.21499633789062,236.3800048828125,
2025-09-09 14:17:00+00:00,236.17999267578125,236.42999267578125,
2025-09-09 14:18:00+00:00,236.12159729003906,236.13999938964844,
2025-09-09 14:19:00+00:00,236.3280029296875,236.42379760742188,
2025-09-09 14:20:00+00:00,236.375,236.64999389648438,
2025-09-09 14:21:00+00:00,236.1304931640625,236.50999450683594,
2025-09-09 14:22:00+00:00,236.25,236.3300018310547,
2025-09-09 14:23:00+00:00,236.47000122070312,236.5399932861328,
2025-09-09 14:24:00+00:00,236.5449981689453,236.4499053955078,
2025-09-09 14:25:00+00:00,236.52499389648438,236.6199951171875,
2025-09-09 14:26:00+00:00,236.36000061035156,236.4774932861328,
2025-09-09 14:27:00+00:00,236.5,236.60740661621094,
2025-09-09 14:28:00+00:00,236.39500427246094,236.58999633789062,
2025-09-09 14:29:00+00:00,236.3101043701172,236.58999633789062,
2025-09-09 14:30:00+00:00,236.2899932861328,236.4199981689453,
2025-09-09 14:31:00+00:00,236.19000244140625,236.2593994140625,
2025-09-09 14:32:00+00:00,236.1199951171875,236.02499389648438,
2025-09-09 14:33:00+00:00,236.1300048828125,236.02000427246094,
2025-09-09 14:34:00+00:00,236.0449981689453,236.00999450683594,
2025-09-09 14:35:00+00:00,236.0399932861328,235.97000122070312,
2025-09-09 14:36:00+00:00,235.95089721679688,236.03500366210938,
2025-09-09 14:37:00+00:00,235.9949951171875,235.8997039794922,
2025-09-09 14:38:00+00:00,236.08999633789062,235.9499969482422,
2025-09-09 14:39:00+00:00,235.92010498046875,235.98500061035156,
2025-09-09 14:40:00+00:00,236.0,236.1199951171875,
2025-09-09 14:41:00+00:00,235.9499969482422,235.83999633789062,
2025-09-09 14:42:00+00:00,235.82000732421875,235.9199981689453,
2025-09-09 14:43:00+00:00,235.85499572753906,235.7100067138672,
2025-09-09 14:44:00+00:00,235.8800048828125,236.13999938964844,
2025-09-09 14:45:00+00:00,236.0500030517578,236.2899932861328,
2025-09-09 14:46:00+00:00,235.95010375976562,236.2899932861328,
2025-09-09 14:47:00+00:00,236.17849731445312,236.3350067138672,
2025-09-09 14:48:00+00:00,236.3249969482422,236.5800018310547,
2025-09-09 14:49:00+00:00,236.42999267578125,236.6699981689453,
2025-09-09 14:50:00+00:00,236.3583984375,236.49000549316406,
2025-09-09 14:51:00+00:00,236.30999755859375,236.75999450683594,
2025-09-09 14:52:00+00:00,236.44000244140625,236.78500366210938,
2025-09-09 14:53:00+00:00,236.57420349121094,236.70010375976562,
2025-09-09 14:54:00+00:00,236.56500244140625,237.05499267578125,
2025-09-09 14:55:00+00:00,236.6284942626953,236.92140197753906,
2025-09-09 14:56:00+00:00,236.58999633789062,236.92059326171875,
2025-09-09 14:57:00+00:00,236.5800018310547,237.0449981689453,
2025-09-09 14:58:00+00:00,236.50999450683594,237.08999633789062,
2025-09-09 14:59:00+00:00,236.5449981689453,237.16000366210938,
